Customer ID,Age,Income,Year-of-Education,Purchase-Amount,Favorite
1,35,139000,12,572,YES
2,25,20000,14,344,YES
3,23,74000,6,413,YES
4,56,35000,5,369,YES
5,47,43000,14,399,YES
6,36,39000,10,360,YES
7,56,71000,13,465,YES
8,38,142000,8,435,YES
9,69,139000,14,634,YES
10,20,122000,5,424,NO
11,41,26000,9,429,NO
12,49,43000,13,402,NO
13,66,125000,13,542,NO
14,22,130000,12,561,NO
15,38,120000,6,372,YES
16,37,149000,9,418,YES
17,32,77000,10,472,YES
18,35,99000,15,605,NO
19,41,91000,8,486,NO
20,53,145000,14,552,NO
