Customer ID,Age,Income,Year-of-Education,Purchase-Amount,Loyalty
1,35,139000,12,572,Excellent
2,25,20000,14,344,Low
3,23,74000,6,413,Excellent
4,56,35000,5,369,Excellent
5,47,43000,14,399,Low
6,36,39000,10,360,Low
7,56,71000,13,465,Excellent
8,38,142000,8,435,Good
9,69,139000,14,634,Good
10,20,122000,5,424,Good
11,41,26000,9,429,Low
12,49,43000,13,402,Low
13,66,125000,13,542,Low
14,22,130000,12,561,Good
15,38,120000,6,372,Good
16,37,149000,9,418,Good
17,32,77000,10,472,Good
18,35,99000,15,605,Low
19,41,91000,8,486,Low
20,53,145000,14,552,Low
